,hasilpreproses
26,"jalan masuk 300 bergelombang , air didanau kering musim kemarau"
27,"Bukit jeddih bukit kapur penambangannya aktif . Namun sisi beroperasi dijadikan wisata . Untuk view ditawarkan menarik . Untuk fasilitas warung makan , toilet ( tau keadaannya ) . Akses …"
28,"Jalan masuk dibilang parah banget , Karcis masuk bayar 2X , 10k , 5k orang , Tp view indah , alami , …"
29,"kesini H+2 raya Idul fitri 2023 jalan rusak senang suasananya unik ramai suara petasan , knalpot anak-anak motor khas jaddih bangkalan madura ."
30,"wisata ramah dikantong , akses nyaman , semoga perhatian & prioritas pemda akses tmp wisata kedepannya tertata .. 👍🏻👍🏻 …"
31,Takjud diciptakan oleh-Nya . Bukit Jaddih destinasi wisata Kabupaten Bangkalan Madura . Pemandangannya beda wisata . …
32,"Bagus epik jalanan berkerikil aspal ( mulus ) kendalanya ... semoga pemerintah memperbaiki jalanan wisata bukit Jaddih depannya ,"
33,Cukup luas pemandu masuk .
34,Punya pengalaman mengenakan .. Yg pungli .. kamar mandi didekat warung dikasih tau pemilik jalur utama begal disuruh jalan 1nya .. eh …
35,"Masuk gang kali bayar seikhlasnya warga . Lalu masuk areanya bayar 20rb mobil . Pas areanya luas , memilih area ( ) dimiliki beda-beda orang . Kalau …"
36,Tiket masuk roda 4 Rp20.000 Tiket pertandingan orangnya 5rb Sudah direnovasi .. Penampilan diperbaharui ..
37,"Merupakan daerah tambang batu kapur dimanfaatkan obyek wisata . Pengelolaan pemerintah minim , akses jalannya sulit …"
38,"Pemandangannya instgramable .. bagus foto foto , jalan akses mulus , biaya parkir 20 ribu .. bayar biaya masuk 5000 orang .. Tempatnya dikelola profesional dikelola penduduk . Tempatny terawat .tp dikelola hidden gemsnya madura"
39,"Banyak bilang pungli , iya , Masuk parkir 20.000 mobil , Kemudian jalan cegat arahkan masuk gua masuk bayar …"
40,"Bukit Jaddih cocok pengin ngetrip tipis , Bukit Jaddih disuguhi pemandangan bukit kapur panorama alam bagus foto grafer prewed . …"
41,"Ini salah wisata suka foto-foto , area madura . Tp surabaya , sok arek suroboyo , mampir rene cuk . …"
42,Sepi perawatan covid . Wisata murah fan menarik
43,Sayang kesini Air kolamnya
44,"Bukit Jaddih sejatinya tambang kapur . Uniknya , pertambangan , alat berat truk berlalu-lalang mengangkut batu kapur . …"
45,"Situs penambangan kapur luas , tampaklah bukit kapur indah . Kalau madura coba mampir , bebek sinjay . Areanya luas , cuaca cerah hasil foto instagramable banget . Masuk bayar parkir . Di dalamnya kolam renang danau dikenakan tiket tambahan ."
46,"Tempat wisata bukit jaddhih primadona madura , kalah bagusnya pantai madura ... wisata bukit kapur , kotor kesini .. terbayar …"
47,Pamandangannya bukit bekas hasil tambang kapur cakep banget ( instagramable ) .. sayang aksesnya kesana melewati jalanan rusak ( akses masuk truk tambang ) . Saya mobil dikenakan karcis 20ribu akses masuk …
48,Bagus foto-foto .. sayangnya jalan TKP bagus . Juga fasum ditingkatnya shg pengunjung nyaman .. Semoga kedepan tertata .. 👍🏻👍🏻 …
49,Saya juni 2019 Bukit jaddih penambangan kapur dijadikan lokasi wisata .. …
50,"Parkiran luas , mushola & kamar mandi terletak jalan masuk lokasi . Ada perahu getek . Terdapat warung kopi . Hanya pungli . Kurang 3X bayar 'tiket '"
51,Kurang bagus tiket ... Terlalu uang resmi . Uang masuk 30rbu free . …
52,"wisata tergolong mahal , pemandangan & suasana : panas , gersang , fasilitas minim , kotor & pungli . lokasi berhati2 jalan sempit & berlubang , polisi tidur dimana2 , pengendara …"
53,"Tempat indah , guide ramah membantu kita👍 …"
54,"Tempatnya viewnya pakai jasa guide foto-foto bagus viewnya keren tempatnya 👍 , , …"
55,"Sebenarnya penambangan batu aktif , Tp lumayan bagus .. danau dilengkapi persewaan gethek bambu .. sayang unt biaya tiket mahal . Unt mobil kena 20rb.belum masuk bukit .. …"
56,"Ada 3 spot wisata kunjungi . Ada kolam renang , Danau Biru , Bukit . Kalau Bukit Harus hati-hati melewati jalan kendaraan penambangan batu kapur . Jalannya menanjak . Sampai …"
57,Pemandangannya bagus kebersihan sampah dimana-mana ditambah fasilitas sampah
58,"Menuju Bukit Jeddih pintu Jembatan Suramadu lurus , pertigaan belok kiri , ikuti jalan aspal , hati hati simpangan mobil , mengalah . Pintu masuknya tersamar , petunjuk …"
59,"Cuacanya panas , sarankan kesini pagi-pagi panas . Hati-hati pungli . Sepanjang perjalanan point dimana pungli nama kas desa , sumbangan desa . Waktu …"
60,"Sebuah bukit kapur kapurnya bangunan rumah . Karena perpaduan kapur genangan air air berwarna hijau . Ada gua namanya Goa Pote . Bagus viewnya . Tetapi parkirnya mahal , 50 ribu bus kapasitas 30 orang ."
61,"Menurut , Bukit Jaddih wisata benar-benar spektakuler kedepan bertambah spektakuler . …"
62,"Kunjungan kesekian kalinya keluarga , tambang suasana bukit kapur putih tertata bekas tambang . Goa poteh artistik hasil potongan penambang . Menghasilkan lubang goa menarik ."
63,kesana jalur suramadu mudah diakses google map jalan jarang petunjuk jalan …
64,"Perjalanan menyenangkan . Kanan kiri persawahan sejuk . Jalan lumayan halus , sepi sempit . Setiba bukit kapur , cuacanya panas . Maklum pulau Madura terkenal panasnya . Namun terobati …"
65,"Kesini 3 kali rombongan teman keluarga . Tempatnya luas banget , panas"
66,Wisata bukit Jaddih lumayan rekreasi keluarga . Masuk bayar 5rb parkir masuk bayar 25rb parkir bayar 20rb . Ini parkir goa pote . Setelah parkiran jalan wisata . Pilihan …
67,Sangat disayangkan potensi wisata madura ikon wisata bangkalan pungli keamanan lokasi wisatawan berpikir 2x berkunjung kesini . Saya warga Bangkalan …
68,Takjub diciptakan oleh-Nya . Bukit Jaddih destinasi wisata Kabupaten Bangkalan Madura . Pemandangannya beda wisata . …
69,Tempaynya panas .. Ini tebing kapur kelolah tradisional penduduk .. Saat maret 2018 pekerja kamar2 sewakan pengunjung . Kamar …
70,Masih terkelola ... Mungkin obyek wisata ... Lagian truk proyek bersliweran .... Dan pengerjaan proyek penggalian batu bata putih . …
71,"Sangat oke tempatnya igable banget ! Cuman jalanan kesini rada jelek , lumayan kluaran suramadu . Worth 👌🏼 …"
72,"Bukit Jaddih lokasi penambangan kapur aktif . Melihat polanya , tambang manual alat berat . Pada lokasi …"
73,Salah wisata madura.bukit kapur indah dikunjungi . Tapi berkunjung pagi sore panas .di siang panas pemandangan menyilaukan …
74,"Mmh penambangan , seakan berubah ubah . Kalau poto cocok panas terik . Tapi santai , cocoknya teduh pagi sorean . …"
75,"Tempat Lumayan Bagus , Sepi banget kesini , cocok liburan rame rame bareng , panas banget kebantu angin lumayan kencang , 2x tarif pintu pintu , bersih , full kapur ujung ujung , …"
76,"Tempat megah mengagumkan . Kalau siang silau berangin . Disarankan pakai kacamata . Terdapat warung minum toilet . Tempat parkir tersedia . Loket masuk area Goa Pote orang Rp 5.000 , - ( retribusi mobil parkir …"
77,Pas putih musim hujan.Jalan masuknya ancur.bayar 3x 😥 …
78,Lokasi mudah dijangkau . Tiket masuk murah . Terdapat kolam renang anak-anak . Dan rakit berkeliling danau . Banyak penjual minuman makanan ringan disana . Toilet bersih . Untuk hasil foto bagus pagi matahari panas .
79,"Baru mencoba kesini bukit jaddih .. pandemi , kesini .. .. pintu masuk , retribusi …"
80,Wisata Bukit Jaddih bangkalan wisata kunjungi pesona keindahannya duanya . Penduduk lokal daerah Bangkalan ramah tamah wisatawan lokal wisatawan asing . Kota …
81,"15menitan suramadu . Akses jalan sempit perkampungan . Pemandangan bagus hobby foto '' sayang dikelola , , akses …"
82,Bukit jaddih wisata tergolong hits banget dikalangan traveler lokal internasional . Tempat meyuguhkan pemandangan indah area bukit kapur yangvputih terkesan area salju . …
83,Bukit Jaddih Madura . Di Kabupaten Bangkalan Madura . Objek wisata Madura lumayan Surabaya jembatan …
84,"Wisata Bekas Tambang kapur menarik eksotis , anak-anak butuh pengawasan optimal berhati2 , , parkir luas"
85,"Kesalahan berkunjung membawa masker kaca mata . Penambangan perbukitan kapur menyisakan bentuk beraturan indah dipandang , panasnya mentari menyengat meningkatkan daya …"
86,"spot foto bagus tarif rakit 5k/org 1 rakit diisi 8-9 orang . jalan bukit gampang ditemukan mobil jalan , minggir gantian …"
87,Masih perhatian pemerintah setempat.akses jalan lokasi bergelombang.meskipun panas asyik berfoto2 ria .
88,Awalnya penasaran datanglah Bukit kapur letaknya pusat kota Bangkalan . Ingin langaung membuktikan keindahan bukit kapur nama bukit Jaddih . Ga foto-foto …
89,"Kunjungan tanggal 21 November 2021 . Info tiket pengendara sepeda motor dikenakan tarif Rp10.000 , - sepeda motor . Tiket masuk beda , tiket masuk Rp5.000 , - orang . Saya tiket masuk , …"
90,Tempatnya tersembunyi akses jalan memadai . jalan muat 1 mobil papasan salah mobil mundur . all over wisata menarik kunjungi . …
91,"hati-hati pungli area wisata .. biaya masuk 1x , berbeda biaya berenang . sedia kacamata masker debu kapur berterbangan , panas"
92,"Actually B : ' ) Tapi serius dirawat keren banget sih Misalnya kali lumut , dibersihin biar putih bersih Trus airnya , dijaga sampah biar jernih"
93,Masih pungli lokasi . Pas masuk ditarik 10rb/motor . Mau masuk danau ditarik 5rb/org
94,"Untuk pemandangan bukit kapur masuk goa experince patut dicoba , sayang akses kesini jalannya lumayan jelek"
95,"Ini bukit kapur terletak Pulau madura . Banyak spot fotonya . Kalau kesini , sempatkan puncak bukit tertingginya sunset . Indah keren banget pemandangannya . Area parkir dimana-mana . Ada musholla area danaunya . Tapi punglinya kesini ."
96,"Bukt kapur bangkalan , Madura . Tempatnya bagus , panas . Fasilitas memadai , . Pungutan . Masuk kendaraan 10 ribu , tarikan 5 ribu orang . Harus dibenahi kedepan . Untuk toilet , istirahat , lain-lain ."
97,"Hidden gems .. penambangan batu kapur , aktif .. lokasi dijangkau mobil , spot dibentuk wisata .. potensi"
98,"Dekat Suramadu Masuk bayar Mobil 20rb , Orang 5rb Naik bukit pakai ojek"
99,"Makin bagus air kolam kering , perahunya operasi , kuda joget ... sayangnya lumut didinding jago putihnya ..."
100,"Tempatnya sepi , idealnya diatas jam 12 matahari barat panas Tiket masuk mobil 20rb motor 10rb Untuk goa pote ditambah orang 5rb"
101,KEREN DAN SANGAT MEMANJAKAN MATA . Saran jam kunjung pagi sore gaiss . Jangan lupa warga lokal walapun pakai maps . Karena jalurnya …
102,"Kawasan bukit bekas penambangan batu kapur berpotensi dijadikan wisata penataan pengelola . Bukit batu kapur liang berbentuk tinggal jaman batu . Fasilitasnya toko suvenir , kantin , toilet"
103,"Instragram banget ... cocok suka foto-foto , mobil masuk kearah bukit2 kapur , tiket masuknya 20 ribu 2 orang plus mobil , danau dikenakan tiket orang 5 ribu"
104,"Baru kali tempatnya Kota Surabaya , berhati-hati map google titik lokasinya salah , kemarin orang desa kampung bicaranya , tempatnya memiliki tanda papan nama …"
105,"Tempatnya panas akibat terik matahari , disarankan membawa payung . Jalan masuknya terjal , disarankan membawa kendaraan minimal MPV SUV sangar disarankan membawa sedan/citycar . …"
106,Bukit kapur dibuka wisata berhati-hati penambangan kapurnya aktif . Pakai masker pagi pilihan terbaik . Danaunya bagus pemandangan disekitarnya . Lebih membawa bekal makanan .
107,Saya percaya tiket masuknya ngasihkan anak-anak benaran tiketnya ta .. bilang iya percaya periksa …
108,"Akhirnya kesini .. wisata bekas areal penambangan ... murah meriah , keren sih , lumayanlah .. pemandunya moto .."
109,Pergi bertepatan lebaran ide bagus . Ada preman berkeliaran Rp.5000 orang karcis masuk Rp.20.000 - kesenangan hilang . Sepertinya …
110,Tempat refresing cocok berlibur keluarga . Tempat madura diakses mobil motor . Membayar 10b Banyak spot foto turis lokal kesini
111,"Jalan bukit parah sih , foto prewedding cocok . Masuk tiket 5.000 /org"
112,"Waktu , omicron .. sepi , bagus negeri . Hanya ticketing tertibkan resmi ."
113,"Amazeee banget tempatnya .. keren .. kesini sorean spot foto cantik . Salah wisata menarik madura , kagum keindahan bukit jaddih . Apalagi menunggu sunset , indah banget deh ."
114,Wisata bukit kapur khas Madura .. Tarif masuk lokasi 10rb motor .. Kalau masuk area wisatanya tarif .. . …
115,"Pertama kali kesini . Tempatnya panas , bukit kapur . Ada kolam air . Tapi menambah eksotis lokasinya ."
116,"Bukit Jaddih , satu-satunya wisata pulau Madura datangi . Tempatnya lumayan bagus . Areal pertambangan dijadikan rekreasi . Kece bànget tempatnya . Nggak rugilah jauh-jauh Sumatera mampir …"
117,Daya tarik destinasi Wisata Bukit Jaddhih terkenal kalangan Masyarakat Jawa . Semoga pemerintahan menambah fasilitas Wisata Bukit Jaddih terkenal Mancanegara …
118,"bagus foto . dijogja tebing breksi . dibuka penataan wisata . kolam renang . parkir luas , pakai bus lokasi jalan . sayang …"
119,"Lokasi bekas penambangan dijadikan spot foto , jalan bukit jaddih lumayan susah , disarankan kendaraan roda . Harus pandai-pandai mengambil angel foto menghasilkan foto Ok ..."
120,"Kalau siang panas , mending sore lihat sunset bagus istimewa . Jalanan pakai gmaps , jalanan sempit rusak , …"
121,Saya kemarin Dari pintu masuk Minta karcis jalan pinta dalm Banyak pungli fasilitas apapun Ada mengecewakan
122,"Lokasinya Jembatan Suramadu , ± 20 menit perjalanan mobil / motor . Harga tiket masuk terjangkau . Ada kolam renang , Goa & Rakit mengarungi danau mini . Sangat layak kunjungi .."
123,"Tempat cakep indah , akses masuk susah , jalan rusak , tarikan pungli , berdebu ( serbuk kapur ) , akses jalan berbahaya jalur pejalan kaki pegangan"
124,"Bukit kapur wisata menjadikan Bangkalan terkenal ! Seperti selayaknya suasana bukit Kapur berdebu , terik panas …"
126,"Bukit kapur apik , sayangnya kurangnya koordinasi penjaga and parkir ... Harusnya berani kasih tiket masuk . Pelayanan wisata ditingkatkan pemisahan daerah tambanganya pertimbangkan . Bagus banget foto-foto 😍 …"
127,"Untuk rekreasi keluarga oke , kolam renangnya , view bukit bekas galian batu kapur disulap destinasi wisata outdoor . Parkir luas , kendaraan bukit selfie2 ."
128,"Bukit Jaddih terletak pusat kota Bangkalan . Cuaca terik , lupa membawa topi payung bukit kapur unik spot foto menarik . Kontribusi masuk lokasi lumayan murah ."
129,"Waktu kesana sepi banget , kayak pungli , sih bapak2 bayar masuk loket tiketnya . Tapi yauda gapapa bayar , kenapa2 . …"
130,"Akses wisata jelek , tarik'an ngeprank wisatawan , harga masuk sih .."
131,"Tempatnya bagus foto saran kesana siang² panas banget , karcis dijadikan biar bolak bayar ,"
132,"Hhhhmmmm ... Banyak pungli , nyaman pungli . Panas berdebu , sarankan membawa kacamata biar kelilipan Dan sunblock biar kulit gosong . berkunjung bukit Jadih , semoga kedepannya dikelola destinasi wisata nyaman"
133,"Tempatnya Bangkalan Tempat indah bekas galian batu bata , enak rekreasi berdua rombongan . Ada kolam renang Tiket Masuk murah . Kalo cuaca panas enak pakai kacamata penutup hidung ."
134,Tempat rekreasi lumayan murah meriah.akses jalan tergolong aspal.kalau rekreasi tergantung penikmat suka alam klik nya.tiket masuk rekreasi 15 ribu.tiket masuk …
135,"Pastinya panas banget , masuk spot foto bagus . Entah , situ pengunjung dikelola . Banyak fasilitas warung-warung terbengkalai ."
136,"Bukit Jeddih Indah menawan musim penghujan ... , Telaga Goa Pote dipakai berakit-rakit berfoto ria keluarga . Kolam renangnya segar sejuk ... hidangan tepian kolamnya . Tempat parkir , toilet …"
137,"1 . Make sure you bring sunglasses , wear a wide hati , wear proper shoes avoid sliped and bring umbrella ! …"
138,"Bagus banget kesana , pintar ambil angel fotonya .... Tp bandit gerbang masuk , masuknya jalan sepi . Ga tau nama jalannya , nemu google maps ditunjukin jalan . …"
139,"Sangattttt .... indahhhhh .... lukisan alam . Waktu menikmati Bukit Jaddhih pagi , siang panas ( persiapan sunblock , topi , payung ) . Selamat menikmati salah keindahan alam negeri ..."
140,"Momen bagus musim hujan . Rumput menghijau , cuaca panas ."
141,"Awal masuk biaya persebeda motor 10.000 , biaya parkir 10.000 . Kalau bangunan warna menghitam , area perhatikan perbaikan wisatanya ."
142,"Suka pemandangannya , warna airnya bagus ( musim panas ) , spot foto . Jalanan kesana gampang n parah2 banget .. …"
143,Tempatnya keren . Cuma akses jalannya diperbaiki . Pengelolaannya bagus mengundang wisatawan
144,Spot foto keren ... Untung suasana panas ... Jd hasil foto bagus ... Cm akses masuk jaddih jalannya
145,"Alhamdulillaah ... Bukit Jaddih ( Bangkalan , Pulau Madura ) . Tempatnya potensial wisata , pengembangan wisatanya ditingkatkan ."
146,"Bukit kapur bentukan2 tertata , bentukan kotak menjulang , tangga2 dinaiki ruangan , galian membentuk kubangan terisi air ... hujan airnya …"
147,"Berada daerah bangkalan madura . Akses jalan kesana motor mobil . Tempatnya bagus . Tp siap2 bawa payung , topi , sunblock panasnya"
148,"Pas , musim hujan . Air danau bagus . Ke musim kering . Tapi bagus . Cuma debu . Jd musim panas pakai masker ."
149,"Alam terbentuk tetes keringat penduduk . Keindahannya menampak kepedulian penguasa desa . Perlu komitmen menjadikan desa wisata ramah pengunjung . Jika , insyaaAllah makmur penduduk"
150,Saya kasih bintang 1 . Klo pungli kasih bintang 5🤣 …
151,"Tempatnya keren berlibur , jembatan suramadu gratis , kesini berhenti `` GOA POTE '' masuknya orang Rp . 5.000 one stop destination perahu , parkiran , toilet , …"
152,"Tempatnya indah , bagus banget view foto '' , cuman dikelola pemerintah dikasih bimbingan warga , pungli , masuk kampungnya kena bayar , ,trus masuk kearea tambangnya …"
153,Tempatnya mbrasak jalan masuknya rusak berdebu siapin masker warga biaya illegal mobil sepuluh ribu orang ribu berkali kali …
154,"Kepengen coba rekreasi Madura , tambang batu kapur aktif , parkir masuk dipatok orang 5000 rupiah , sih lumayan"
155,ما شاء الله . Keren banget tempatnya .. instagramable .. Tapi diperbaiki .. akses jalan lokasi ( titik …
156,"Sebenarnya areanya bebas dijelajahi , aktivitas penambangan dilarang mendekat , spot terbaik keatas bukit rumputnya , hati² batuan kapur longsor"
157,"Udara panas .... akses jalan lokasi sepi ... pinter2 cari angel unt foto bagus .. spot foto ... bawa air putih , jualan ... udara panas bikin gampang lelah haus"
158,Tempatnya panas . Tapi bagus foto²
159,Taman bukit jadih bukit kapur kota bangkalan . Bukit proses masyarakat ambil kapur . Jadi rentang bentuknya berubah …
160,Tempat wisata dikunjungi madura.karena bukit kapur.jadi disiapkan masker Sebaiknya kesana sore panas.banyak spoot foto
161,"Jalanan kak susah . Lagi beruntung siang , pengunjung . Serasa VIP 😎 Mas banget nunjukin tempat-tempat foto , semi tur guide , fotografer 🤭 …"
162,"Hari kesana , sepi pengunjung cumak indak , e bagus , keren , panas sih menurutku , pungli sih merasakan sih cumak kena 2 , medan lumayan oke , wahana perahu …"
163,"Kalau masuk kesini bayarnya 3 portal , 1 portal kampung , 2 portal masuk wisata , 3 portal masuk telaga . Utk lumayan instragameble , disana orang juala mknan minuman ringan , jualan ."
164,"Tempat bagus , panas lumayan menyengat . Kebersihan terjaga . Msh exploitasi kapur , truck2 bersliweran . Mdh2an kedepannya pengelolaan breksit Jogja"
165,"Kalo bagus strategis , sayangkan mengocak lumayan uang keluarkan , tiket parkir mahal , masuk berhentikan …"
166,"Perpaduan warna putih , pantulan sinar matahari menyengat , warna air kolam efek warna biru bersih kesan tersendiri mata , kesan cantik bukit aktifitas pertambangan aktif …"
167,"Tempatnya bagus berpotensi pariwisata . Bisa lihat foto-foto upload . Pengunjung Surabaya , Sidoarjo , daerah walopun …"
168,"Tempat wisata gua buatan , Cukup bagus sekedar melepas lelah melintasi jembatan suramadu😁 Biaya akomodasi biaya masuk , parkir kendaraan tiket masuk …"
169,"Jika kelola , khawatir punah . Krn banyaknya penambang batu cepat habis bebatuan wisata ."
170,"cantik , panas . spot foto bagus eksplor . sedia kaca mata hitam , topi/payung , masker/buff menahan debu . lupa pakai baju warna cerah foto bagus ."
171,"For the first time ksana .. pakai plat B ksana , ketemu 1 pungli , disuruh jalan , blgnya rumah keluarga , sih wisata , ksana ngandelin gmaps , masuk mobil 15rb orang dikenakan 5rb rupiah , …"
172,Bukit Kapur Bangkalan Madura . Pemandangannya bagus jarang ditemui . Siapkan Payung topi kacamata hitam penghalau panas . Ada akses jalan masuk jalan utama jalan kampung . Jalan kampung jarak motor mobil .
173,"Pas Dateng Senin , berdua teman . Sampe bukit jam 10 an . Ternyata teman wisatawan berkunjung . Berasa wisata horor 😳 ... Tapi berkeliling rombongan …"
174,"Bukit Jaddih Madura Terletak Bangkalan , cepat diakses via kapal feri tanjung perak Surabaya . …"
175,"Tempat wisata eksotis pemandangan Bagus , cocok foto foto . Saran kesini pagi sore , udaranya segar"
176,"Bawalah uang preman pungli , mengaku resmi bertiket . Mulai masuk jalan akses ditarik infaq , maju ratus meter pos tiket , masuk & parkir Goa Pote disuruh bayar …"
177,"Lokasinya menarik , jalan masuk susah asli berdebu petunjuk lokasi sederhana . Untuk pesepeda parkir bawa masuk sepeda ."
178,"Tempatnya bagus foto '' . Untuk tiket bayar 2x , area tambang area goa pote . Masing '' Rp.5000/orang . Untuk fasilitas toilet warung , parkir luas . Sayangnya kebersihan diperhatikan"
180,"Tidak direkomendasikan kesana minggu minggu , kolamnya dikuras , mengecewakan pokoknya . Apalagi penjaga tiketnya mengomong , bayar 5rb orang kolamnya enggak ada . Cuma lihat …"
181,Aslinya penambangan batu kapur . Tapi wisata lokasi bekas hasil penambangan epic . Banyak spot foto bagus sih . Kalau eksplore madura coba wisata kesini .
182,"Nice view . Kalo dikelola keren . Pas kesini Burneh ( cmiiw ) , jalan lebar . Kiri kanan sawah2 , menyenangkan lihatnya orang lihat layar komputer . Trus mendekati Jadih hill perkampungan , bukit kapurnya ."
183,Cukup exotis ... sayang kolam renang . Maksimal badan orang dewasa ... akses jalan bagus sedan nekat .
184,Tempat keren ... tambang batu kapur ... disulap sedimikan rupa wisata ... kolam renangnya .... segeerrrrr .... seru
185,"Dulu ramai , sepi pendemi , pengelola jaring panas , tanggal 13 maret 2021 , kasihan warung2nya.kurang promosi medsos pengelolanya"
186,Kurang rekomended . Karna aksesibilitas . Jalannya sempit sepi berbahaya rame-rame . Kurang worth . Tidak informasinya pintu masuknya …
187,"Sangat bagus bukit kapur telaga , sayang jalan . Lokasi bus lebar didukung fasilitas"
188,Spot foto instgramable banget . Semua dijadikan spot foto . Ada 2x bayar . Yg masuk kawasan perkendaraan beda-beda . Yg masuk danau ( hujan ) bayarnya diitung perorangan . Kesana sore panas .
189,"Jalan menuru lokasi luas , masuk desa2 . Saat kesana cuaca mendung panas ."
190,"Bukit kapur , spesial . Objek `` dijual '' bekas gua2 lubang penambangan . Selebihnya dinikmati . lokasi lumayan jalan . Retribusi masyarakat dimana-mana , menambah …"
191,"Tidak termanage , tiket masuk bayar 2x ... fasilitas minim , penghobi Selfi bagus , sport foto"
192,Uhuy mantap
193,"Tempatnya cocok penggemar fotografi berselfie . Yang , tempatnya panas , jalan terbilang sulit kendaraan mobil bis ."
194,Tempat khusus penikmat alam hunting foto view bagus . Karena bukit kapur dimana orang-orang menambang kapur . Jangan lupa bawa kacamata hitam payung kepanasan silau
195,Bukit kapur indah diusahakan dikelola masyarakat . Beberapa dilengkapi fasilitas penunjang standar standart wisatawan enjoy menikmati keindahan alam jeddih .
196,Sempat goa pote Bukit jaddihnya jarang kesana . Padahal bagus
197,"Ga dikelola khusus . Mungkin area pertambangan aktiv .. aktivitas . Bagus spot foto , air kolamnya . Musim hujan …"
198,"Ada 2 pos pembayaran Ogah , warung resmi , parkir bayar orang 5000 mobil 😓 . Semoga bukit jaddih dikelola bagus , terawat , terbebas pungli Ogah mak Ogah …"
199,Berlokasi Pulau Madura . akses jalan terjal berdebu . memasuki daerah objek wisata jalan beraspal …
200,"Salah Wisata Bukit Kapur terbaik Jawa Timur , cocok berfoto selfie keluarga teman . Mantapp ... 👍🙏🤩 …"
201,"Pemandangan indah . Tapi jalanan lokasi memadai . Tiket masuk mobil 10rb , tiket orang 5rb ."
202,"Tambang Kapur daerah bangkalan , Suramadu aktif wisata Goa penambang membentuk Pola Jalur Goa tambang . Cocok Offroad lokasinya ."
203,Tempatnya amazing ... disarankan pagi ... sudut spot foto ... akses jalan masuk offroad ... gua
204,"Cocok suka selfie . Sebenarnya tambang kapur , beroperasi . Kalau kesini , pastikan membawa kacamata , payung/topi , masker lokasinya panas …"
205,Bukan wisata ideal . Hanya sisa foto cakep . Ga pengelolaan . Hanya tukang karcis dilewatin ngejar . …
206,"Pemandangan bukit kapur bagus spot foto goa poteh , rekomendasi kesini pagi sore , siang panas banget"
