,lokasi,ulasan,label
15,Bukit Jaddhih,"['Menurut', 'bagus', 'jalan-jalan', '.', 'Cuman', 'kitq', 'penarik', 'karcis', '.', 'Kita', 'mobil', 'dicgat', 'orang', 'bawa', 'karcis', 'suruh', 'bayar']",1
16,Bukit Jaddhih,"['Banyak', 'spot', 'foto', 'keren', '&', 'bagus', ',', 'disarankan', 'pagi/sore', ',', 'siang', 'panasnya', 'ampun', '...']",1
17,Bukit Jaddhih,"['Bagus', 'cuaca', 'mendukung', 'jam', '8', '9', 'matahari', 'diatas', 'suhu', 'panas', 'terik', 'menaikkan', 'pesona', 'alamnya']",1
18,Bukit Jaddhih,"['Pengalaman', 'wisata', 'alam', 'menyenangkan', ',', 'kondisi', 'lumayan', 'sepi', 'berkunjung', 'jumat', '.', 'Kurang', 'penunjuk', 'arah', '.', 'Semoga', 'kedepannya', 'pengelolaan']",1
19,Bukit Jaddhih,"['Dateng', 'weekend', ',', 'survey', '.', 'Bareng', 'truk', 'truk', 'tambang', 'jalannya', 'rusak', '.', 'Dibantu', 'warga', 'lokal', 'mencari', 'jalan', 'mendingan', '.', 'Sampe', 'lokasi', 'airnya', 'surut', 'ujan', '.', 'Gersang', 'banget', 'bawa', 'masker', '.', 'Debu', 'dimana']",0
20,Bukit Jaddhih,"['Goa', 'pote', ',', 'bangkalan', 'Msh', 'sebelahnya', 'bukit', 'jaddih', '.', 'Mungkin', 'goa', 'putih', ',', 'bekas', 'galian', 'kapur', ',', 'putih', '.']",1
21,Bukit Jaddhih,"['Tempatnya', 'bagus', ',', 'sayang', 'kesana', 'musim', 'kemarau', 'jalanan', 'berdebu', 'galian', 'tambang', 'kapur']",1
22,Bukit Jaddhih,"['viewnya', 'bagus', ',', 'bekas', 'area', 'tambang', 'spot', 'foto-foto']",1
23,Bukit Jaddhih,"['Bekas', 'tambang', 'kapur', 'banhkalan', 'madura', '.', 'Sangat', 'aesthetic', 'lokasi', 'foto', 'video', '.', 'Tiket', 'masuk', 'murah', '5rb', 'orang', '.', 'Ada', 'tour', 'guide', ',', 'anak', 'muda', '..', 'jago', 'take', 'foto', 'video', '.', '…']",1
24,Bukit Jaddhih,"['Wisata', 'gunung', 'kapur', 'indah', '...', 'musim', 'kemarau', 'panas', 'banget']",1
25,Bukit Jaddhih,"['Bagus', 'foto²', 'rekomendasi', 'kesini', 'pagi', 'sore', ',', 'tutup', 'jam', '17.30']",1
26,Bukit Jaddhih,"['jalan', 'masuk', '300', 'bergelombang', ',', 'air', 'didanau', 'kering', 'musim', 'kemarau']",0
27,Bukit Jaddhih,"['Bukit', 'jeddih', 'bukit', 'kapur', 'penambangannya', 'aktif', '.', 'Namun', 'sisi', 'beroperasi', 'dijadikan', 'wisata', '.', 'Untuk', 'view', 'ditawarkan', 'menarik', '.', 'Untuk', 'fasilitas', 'warung', 'makan', ',', 'toilet', '(', 'tau', 'keadaannya', ')', '.', 'Akses', '…']",1
28,Bukit Jaddhih,"['Jalan', 'masuk', 'dibilang', 'parah', 'banget', ',', 'Karcis', 'masuk', 'bayar', '2X', ',', '10k', ',', '5k', 'orang', ',', 'Tp', 'view', 'indah', ',', 'alami', ',', '…']",1
29,Bukit Jaddhih,"['kesini', 'H+2', 'raya', 'Idul', 'fitri', '2023', 'jalan', 'rusak', 'senang', 'suasananya', 'unik', 'ramai', 'suara', 'petasan', ',', 'knalpot', 'anak-anak', 'motor', 'khas', 'jaddih', 'bangkalan', 'madura', '.']",1
30,Bukit Jaddhih,"['wisata', 'ramah', 'dikantong', ',', 'akses', 'nyaman', ',', 'semoga', 'perhatian', '&', 'prioritas', 'pemda', 'akses', 'tmp', 'wisata', 'kedepannya', 'tertata', '..', '👍🏻👍🏻', '…']",1
31,Bukit Jaddhih,"['Takjud', 'diciptakan', 'oleh-Nya', '.', 'Bukit', 'Jaddih', 'destinasi', 'wisata', 'Kabupaten', 'Bangkalan', 'Madura', '.', 'Pemandangannya', 'beda', 'wisata', '.', '…']",1
32,Bukit Jaddhih,"['Bagus', 'epik', 'jalanan', 'berkerikil', 'aspal', '(', 'mulus', ')', 'kendalanya', '...', 'semoga', 'pemerintah', 'memperbaiki', 'jalanan', 'wisata', 'bukit', 'Jaddih', 'depannya', ',']",1
33,Bukit Jaddhih,"['Cukup', 'luas', 'pemandu', 'masuk', '.']",1
34,Bukit Jaddhih,"['Punya', 'pengalaman', 'mengenakan', '..', 'Yg', 'pungli', '..', 'kamar', 'mandi', 'didekat', 'warung', 'dikasih', 'tau', 'pemilik', 'jalur', 'utama', 'begal', 'disuruh', 'jalan', '1nya', '..', 'eh', '…']",0
35,Bukit Jaddhih,"['Masuk', 'gang', 'kali', 'bayar', 'seikhlasnya', 'warga', '.', 'Lalu', 'masuk', 'areanya', 'bayar', '20rb', 'mobil', '.', 'Pas', 'areanya', 'luas', ',', 'memilih', 'area', '(', ')', 'dimiliki', 'beda-beda', 'orang', '.', 'Kalau', '…']",0
36,Bukit Jaddhih,"['Tiket', 'masuk', 'roda', '4', 'Rp20.000', 'Tiket', 'pertandingan', 'orangnya', '5rb', 'Sudah', 'direnovasi', '..', 'Penampilan', 'diperbaharui', '..']",1
37,Bukit Jaddhih,"['Merupakan', 'daerah', 'tambang', 'batu', 'kapur', 'dimanfaatkan', 'obyek', 'wisata', '.', 'Pengelolaan', 'pemerintah', 'minim', ',', 'akses', 'jalannya', 'sulit', '…']",0
38,Bukit Jaddhih,"['Pemandangannya', 'instgramable', '..', 'bagus', 'foto', 'foto', ',', 'jalan', 'akses', 'mulus', ',', 'biaya', 'parkir', '20', 'ribu', '..', 'bayar', 'biaya', 'masuk', '5000', 'orang', '..', 'Tempatnya', 'dikelola', 'profesional', 'dikelola', 'penduduk', '.', 'Tempatny', 'terawat', '.tp', 'dikelola', 'hidden', 'gemsnya', 'madura']",1
39,Bukit Jaddhih,"['Banyak', 'bilang', 'pungli', ',', 'iya', ',', 'Masuk', 'parkir', '20.000', 'mobil', ',', 'Kemudian', 'jalan', 'cegat', 'arahkan', 'masuk', 'gua', 'masuk', 'bayar', '…']",0
40,Bukit Jaddhih,"['Bukit', 'Jaddih', 'cocok', 'pengin', 'ngetrip', 'tipis', ',', 'Bukit', 'Jaddih', 'disuguhi', 'pemandangan', 'bukit', 'kapur', 'panorama', 'alam', 'bagus', 'foto', 'grafer', 'prewed', '.', '…']",1
41,Bukit Jaddhih,"['Ini', 'salah', 'wisata', 'suka', 'foto-foto', ',', 'area', 'madura', '.', 'Tp', 'surabaya', ',', 'sok', 'arek', 'suroboyo', ',', 'mampir', 'rene', 'cuk', '.', '…']",1
42,Bukit Jaddhih,"['Sepi', 'perawatan', 'covid', '.', 'Wisata', 'murah', 'fan', 'menarik']",1
43,Bukit Jaddhih,"['Sayang', 'kesini', 'Air', 'kolamnya']",0
44,Bukit Jaddhih,"['Bukit', 'Jaddih', 'sejatinya', 'tambang', 'kapur', '.', 'Uniknya', ',', 'pertambangan', ',', 'alat', 'berat', 'truk', 'berlalu-lalang', 'mengangkut', 'batu', 'kapur', '.', '…']",0
45,Bukit Jaddhih,"['Situs', 'penambangan', 'kapur', 'luas', ',', 'tampaklah', 'bukit', 'kapur', 'indah', '.', 'Kalau', 'madura', 'coba', 'mampir', ',', 'bebek', 'sinjay', '.', 'Areanya', 'luas', ',', 'cuaca', 'cerah', 'hasil', 'foto', 'instagramable', 'banget', '.', 'Masuk', 'bayar', 'parkir', '.', 'Di', 'dalamnya', 'kolam', 'renang', 'danau', 'dikenakan', 'tiket', 'tambahan', '.']",1
46,Bukit Jaddhih,"['Tempat', 'wisata', 'bukit', 'jaddhih', 'primadona', 'madura', ',', 'kalah', 'bagusnya', 'pantai', 'madura', '...', 'wisata', 'bukit', 'kapur', ',', 'kotor', 'kesini', '..', 'terbayar', '…']",1
47,Bukit Jaddhih,"['Pamandangannya', 'bukit', 'bekas', 'hasil', 'tambang', 'kapur', 'cakep', 'banget', '(', 'instagramable', ')', '..', 'sayang', 'aksesnya', 'kesana', 'melewati', 'jalanan', 'rusak', '(', 'akses', 'masuk', 'truk', 'tambang', ')', '.', 'Saya', 'mobil', 'dikenakan', 'karcis', '20ribu', 'akses', 'masuk', '…']",1
48,Bukit Jaddhih,"['Bagus', 'foto-foto', '..', 'sayangnya', 'jalan', 'TKP', 'bagus', '.', 'Juga', 'fasum', 'ditingkatnya', 'shg', 'pengunjung', 'nyaman', '..', 'Semoga', 'kedepan', 'tertata', '..', '👍🏻👍🏻', '…']",1
49,Bukit Jaddhih,"['Saya', 'juni', '2019', 'Bukit', 'jaddih', 'penambangan', 'kapur', 'dijadikan', 'lokasi', 'wisata', '..', '…']",1
50,Bukit Jaddhih,"['Parkiran', 'luas', ',', 'mushola', '&', 'kamar', 'mandi', 'terletak', 'jalan', 'masuk', 'lokasi', '.', 'Ada', 'perahu', 'getek', '.', 'Terdapat', 'warung', 'kopi', '.', 'Hanya', 'pungli', '.', 'Kurang', '3X', 'bayar', ""'tiket"", ""'""]",1
51,Bukit Jaddhih,"['Kurang', 'bagus', 'tiket', '...', 'Terlalu', 'uang', 'resmi', '.', 'Uang', 'masuk', '30rbu', 'free', '.', '…']",1
52,Bukit Jaddhih,"['wisata', 'tergolong', 'mahal', ',', 'pemandangan', '&', 'suasana', ':', 'panas', ',', 'gersang', ',', 'fasilitas', 'minim', ',', 'kotor', '&', 'pungli', '.', 'lokasi', 'berhati2', 'jalan', 'sempit', '&', 'berlubang', ',', 'polisi', 'tidur', 'dimana2', ',', 'pengendara', '…']",0
53,Bukit Jaddhih,"['Tempat', 'indah', ',', 'guide', 'ramah', 'membantu', 'kita👍', '…']",1
54,Bukit Jaddhih,"['Tempatnya', 'viewnya', 'pakai', 'jasa', 'guide', 'foto-foto', 'bagus', 'viewnya', 'keren', 'tempatnya', '👍', ',', ',', '…']",1
55,Bukit Jaddhih,"['Sebenarnya', 'penambangan', 'batu', 'aktif', ',', 'Tp', 'lumayan', 'bagus', '..', 'danau', 'dilengkapi', 'persewaan', 'gethek', 'bambu', '..', 'sayang', 'unt', 'biaya', 'tiket', 'mahal', '.', 'Unt', 'mobil', 'kena', '20rb.belum', 'masuk', 'bukit', '..', '…']",1
56,Bukit Jaddhih,"['Ada', '3', 'spot', 'wisata', 'kunjungi', '.', 'Ada', 'kolam', 'renang', ',', 'Danau', 'Biru', ',', 'Bukit', '.', 'Kalau', 'Bukit', 'Harus', 'hati-hati', 'melewati', 'jalan', 'kendaraan', 'penambangan', 'batu', 'kapur', '.', 'Jalannya', 'menanjak', '.', 'Sampai', '…']",0
57,Bukit Jaddhih,"['Pemandangannya', 'bagus', 'kebersihan', 'sampah', 'dimana-mana', 'ditambah', 'fasilitas', 'sampah']",1
58,Bukit Jaddhih,"['Menuju', 'Bukit', 'Jeddih', 'pintu', 'Jembatan', 'Suramadu', 'lurus', ',', 'pertigaan', 'belok', 'kiri', ',', 'ikuti', 'jalan', 'aspal', ',', 'hati', 'hati', 'simpangan', 'mobil', ',', 'mengalah', '.', 'Pintu', 'masuknya', 'tersamar', ',', 'petunjuk', '…']",0
59,Bukit Jaddhih,"['Cuacanya', 'panas', ',', 'sarankan', 'kesini', 'pagi-pagi', 'panas', '.', 'Hati-hati', 'pungli', '.', 'Sepanjang', 'perjalanan', 'point', 'dimana', 'pungli', 'nama', 'kas', 'desa', ',', 'sumbangan', 'desa', '.', 'Waktu', '…']",0
60,Bukit Jaddhih,"['Sebuah', 'bukit', 'kapur', 'kapurnya', 'bangunan', 'rumah', '.', 'Karena', 'perpaduan', 'kapur', 'genangan', 'air', 'air', 'berwarna', 'hijau', '.', 'Ada', 'gua', 'namanya', 'Goa', 'Pote', '.', 'Bagus', 'viewnya', '.', 'Tetapi', 'parkirnya', 'mahal', ',', '50', 'ribu', 'bus', 'kapasitas', '30', 'orang', '.']",1
61,Bukit Jaddhih,"['Menurut', ',', 'Bukit', 'Jaddih', 'wisata', 'benar-benar', 'spektakuler', 'kedepan', 'bertambah', 'spektakuler', '.', '…']",1
62,Bukit Jaddhih,"['Kunjungan', 'kesekian', 'kalinya', 'keluarga', ',', 'tambang', 'suasana', 'bukit', 'kapur', 'putih', 'tertata', 'bekas', 'tambang', '.', 'Goa', 'poteh', 'artistik', 'hasil', 'potongan', 'penambang', '.', 'Menghasilkan', 'lubang', 'goa', 'menarik', '.']",1
63,Bukit Jaddhih,"['kesana', 'jalur', 'suramadu', 'mudah', 'diakses', 'google', 'map', 'jalan', 'jarang', 'petunjuk', 'jalan', '…']",1
64,Bukit Jaddhih,"['Perjalanan', 'menyenangkan', '.', 'Kanan', 'kiri', 'persawahan', 'sejuk', '.', 'Jalan', 'lumayan', 'halus', ',', 'sepi', 'sempit', '.', 'Setiba', 'bukit', 'kapur', ',', 'cuacanya', 'panas', '.', 'Maklum', 'pulau', 'Madura', 'terkenal', 'panasnya', '.', 'Namun', 'terobati', '…']",1
65,Bukit Jaddhih,"['Kesini', '3', 'kali', 'rombongan', 'teman', 'keluarga', '.', 'Tempatnya', 'luas', 'banget', ',', 'panas']",1
66,Bukit Jaddhih,"['Wisata', 'bukit', 'Jaddih', 'lumayan', 'rekreasi', 'keluarga', '.', 'Masuk', 'bayar', '5rb', 'parkir', 'masuk', 'bayar', '25rb', 'parkir', 'bayar', '20rb', '.', 'Ini', 'parkir', 'goa', 'pote', '.', 'Setelah', 'parkiran', 'jalan', 'wisata', '.', 'Pilihan', '…']",1
67,Bukit Jaddhih,"['Sangat', 'disayangkan', 'potensi', 'wisata', 'madura', 'ikon', 'wisata', 'bangkalan', 'pungli', 'keamanan', 'lokasi', 'wisatawan', 'berpikir', '2x', 'berkunjung', 'kesini', '.', 'Saya', 'warga', 'Bangkalan', '…']",0
68,Bukit Jaddhih,"['Takjub', 'diciptakan', 'oleh-Nya', '.', 'Bukit', 'Jaddih', 'destinasi', 'wisata', 'Kabupaten', 'Bangkalan', 'Madura', '.', 'Pemandangannya', 'beda', 'wisata', '.', '…']",1
69,Bukit Jaddhih,"['Tempaynya', 'panas', '..', 'Ini', 'tebing', 'kapur', 'kelolah', 'tradisional', 'penduduk', '..', 'Saat', 'maret', '2018', 'pekerja', 'kamar2', 'sewakan', 'pengunjung', '.', 'Kamar', '…']",1
70,Bukit Jaddhih,"['Masih', 'terkelola', '...', 'Mungkin', 'obyek', 'wisata', '...', 'Lagian', 'truk', 'proyek', 'bersliweran', '....', 'Dan', 'pengerjaan', 'proyek', 'penggalian', 'batu', 'bata', 'putih', '.', '…']",0
71,Bukit Jaddhih,"['Sangat', 'oke', 'tempatnya', 'igable', 'banget', '!', 'Cuman', 'jalanan', 'kesini', 'rada', 'jelek', ',', 'lumayan', 'kluaran', 'suramadu', '.', 'Worth', '👌🏼', '…']",0
72,Bukit Jaddhih,"['Bukit', 'Jaddih', 'lokasi', 'penambangan', 'kapur', 'aktif', '.', 'Melihat', 'polanya', ',', 'tambang', 'manual', 'alat', 'berat', '.', 'Pada', 'lokasi', '…']",1
73,Bukit Jaddhih,"['Salah', 'wisata', 'madura.bukit', 'kapur', 'indah', 'dikunjungi', '.', 'Tapi', 'berkunjung', 'pagi', 'sore', 'panas', '.di', 'siang', 'panas', 'pemandangan', 'menyilaukan', '…']",1
74,Bukit Jaddhih,"['Mmh', 'penambangan', ',', 'seakan', 'berubah', 'ubah', '.', 'Kalau', 'poto', 'cocok', 'panas', 'terik', '.', 'Tapi', 'santai', ',', 'cocoknya', 'teduh', 'pagi', 'sorean', '.', '…']",1
75,Bukit Jaddhih,"['Tempat', 'Lumayan', 'Bagus', ',', 'Sepi', 'banget', 'kesini', ',', 'cocok', 'liburan', 'rame', 'rame', 'bareng', ',', 'panas', 'banget', 'kebantu', 'angin', 'lumayan', 'kencang', ',', '2x', 'tarif', 'pintu', 'pintu', ',', 'bersih', ',', 'full', 'kapur', 'ujung', 'ujung', ',', '…']",1
76,Bukit Jaddhih,"['Tempat', 'megah', 'mengagumkan', '.', 'Kalau', 'siang', 'silau', 'berangin', '.', 'Disarankan', 'pakai', 'kacamata', '.', 'Terdapat', 'warung', 'minum', 'toilet', '.', 'Tempat', 'parkir', 'tersedia', '.', 'Loket', 'masuk', 'area', 'Goa', 'Pote', 'orang', 'Rp', '5.000', ',', '-', '(', 'retribusi', 'mobil', 'parkir', '…']",1
77,Bukit Jaddhih,"['Pas', 'putih', 'musim', 'hujan.Jalan', 'masuknya', 'ancur.bayar', '3x', '😥', '…']",0
78,Bukit Jaddhih,"['Lokasi', 'mudah', 'dijangkau', '.', 'Tiket', 'masuk', 'murah', '.', 'Terdapat', 'kolam', 'renang', 'anak-anak', '.', 'Dan', 'rakit', 'berkeliling', 'danau', '.', 'Banyak', 'penjual', 'minuman', 'makanan', 'ringan', 'disana', '.', 'Toilet', 'bersih', '.', 'Untuk', 'hasil', 'foto', 'bagus', 'pagi', 'matahari', 'panas', '.']",1
79,Bukit Jaddhih,"['Baru', 'mencoba', 'kesini', 'bukit', 'jaddih', '..', 'pandemi', ',', 'kesini', '..', '..', 'pintu', 'masuk', ',', 'retribusi', '…']",0
80,Bukit Jaddhih,"['Wisata', 'Bukit', 'Jaddih', 'bangkalan', 'wisata', 'kunjungi', 'pesona', 'keindahannya', 'duanya', '.', 'Penduduk', 'lokal', 'daerah', 'Bangkalan', 'ramah', 'tamah', 'wisatawan', 'lokal', 'wisatawan', 'asing', '.', 'Kota', '…']",1
81,Bukit Jaddhih,"['15menitan', 'suramadu', '.', 'Akses', 'jalan', 'sempit', 'perkampungan', '.', 'Pemandangan', 'bagus', 'hobby', 'foto', ""''"", 'sayang', 'dikelola', ',', ',', 'akses', '…']",1
82,Bukit Jaddhih,"['Bukit', 'jaddih', 'wisata', 'tergolong', 'hits', 'banget', 'dikalangan', 'traveler', 'lokal', 'internasional', '.', 'Tempat', 'meyuguhkan', 'pemandangan', 'indah', 'area', 'bukit', 'kapur', 'yangvputih', 'terkesan', 'area', 'salju', '.', '…']",1
83,Bukit Jaddhih,"['Bukit', 'Jaddih', 'Madura', '.', 'Di', 'Kabupaten', 'Bangkalan', 'Madura', '.', 'Objek', 'wisata', 'Madura', 'lumayan', 'Surabaya', 'jembatan', '…']",1
84,Bukit Jaddhih,"['Wisata', 'Bekas', 'Tambang', 'kapur', 'menarik', 'eksotis', ',', 'anak-anak', 'butuh', 'pengawasan', 'optimal', 'berhati2', ',', ',', 'parkir', 'luas']",1
85,Bukit Jaddhih,"['Kesalahan', 'berkunjung', 'membawa', 'masker', 'kaca', 'mata', '.', 'Penambangan', 'perbukitan', 'kapur', 'menyisakan', 'bentuk', 'beraturan', 'indah', 'dipandang', ',', 'panasnya', 'mentari', 'menyengat', 'meningkatkan', 'daya', '…']",1
86,Bukit Jaddhih,"['spot', 'foto', 'bagus', 'tarif', 'rakit', '5k/org', '1', 'rakit', 'diisi', '8-9', 'orang', '.', 'jalan', 'bukit', 'gampang', 'ditemukan', 'mobil', 'jalan', ',', 'minggir', 'gantian', '…']",1
87,Bukit Jaddhih,"['Masih', 'perhatian', 'pemerintah', 'setempat.akses', 'jalan', 'lokasi', 'bergelombang.meskipun', 'panas', 'asyik', 'berfoto2', 'ria', '.']",0
88,Bukit Jaddhih,"['Awalnya', 'penasaran', 'datanglah', 'Bukit', 'kapur', 'letaknya', 'pusat', 'kota', 'Bangkalan', '.', 'Ingin', 'langaung', 'membuktikan', 'keindahan', 'bukit', 'kapur', 'nama', 'bukit', 'Jaddih', '.', 'Ga', 'foto-foto', '…']",1
89,Bukit Jaddhih,"['Kunjungan', 'tanggal', '21', 'November', '2021', '.', 'Info', 'tiket', 'pengendara', 'sepeda', 'motor', 'dikenakan', 'tarif', 'Rp10.000', ',', '-', 'sepeda', 'motor', '.', 'Tiket', 'masuk', 'beda', ',', 'tiket', 'masuk', 'Rp5.000', ',', '-', 'orang', '.', 'Saya', 'tiket', 'masuk', ',', '…']",0
90,Bukit Jaddhih,"['Tempatnya', 'tersembunyi', 'akses', 'jalan', 'memadai', '.', 'jalan', 'muat', '1', 'mobil', 'papasan', 'salah', 'mobil', 'mundur', '.', 'all', 'over', 'wisata', 'menarik', 'kunjungi', '.', '…']",1
91,Bukit Jaddhih,"['hati-hati', 'pungli', 'area', 'wisata', '..', 'biaya', 'masuk', '1x', ',', 'berbeda', 'biaya', 'berenang', '.', 'sedia', 'kacamata', 'masker', 'debu', 'kapur', 'berterbangan', ',', 'panas']",0
92,Bukit Jaddhih,"['Actually', 'B', ':', ""'"", ')', 'Tapi', 'serius', 'dirawat', 'keren', 'banget', 'sih', 'Misalnya', 'kali', 'lumut', ',', 'dibersihin', 'biar', 'putih', 'bersih', 'Trus', 'airnya', ',', 'dijaga', 'sampah', 'biar', 'jernih']",1
93,Bukit Jaddhih,"['Masih', 'pungli', 'lokasi', '.', 'Pas', 'masuk', 'ditarik', '10rb/motor', '.', 'Mau', 'masuk', 'danau', 'ditarik', '5rb/org']",0
94,Bukit Jaddhih,"['Untuk', 'pemandangan', 'bukit', 'kapur', 'masuk', 'goa', 'experince', 'patut', 'dicoba', ',', 'sayang', 'akses', 'kesini', 'jalannya', 'lumayan', 'jelek']",0
95,Bukit Jaddhih,"['Ini', 'bukit', 'kapur', 'terletak', 'Pulau', 'madura', '.', 'Banyak', 'spot', 'fotonya', '.', 'Kalau', 'kesini', ',', 'sempatkan', 'puncak', 'bukit', 'tertingginya', 'sunset', '.', 'Indah', 'keren', 'banget', 'pemandangannya', '.', 'Area', 'parkir', 'dimana-mana', '.', 'Ada', 'musholla', 'area', 'danaunya', '.', 'Tapi', 'punglinya', 'kesini', '.']",1
96,Bukit Jaddhih,"['Bukt', 'kapur', 'bangkalan', ',', 'Madura', '.', 'Tempatnya', 'bagus', ',', 'panas', '.', 'Fasilitas', 'memadai', ',', '.', 'Pungutan', '.', 'Masuk', 'kendaraan', '10', 'ribu', ',', 'tarikan', '5', 'ribu', 'orang', '.', 'Harus', 'dibenahi', 'kedepan', '.', 'Untuk', 'toilet', ',', 'istirahat', ',', 'lain-lain', '.']",1
97,Bukit Jaddhih,"['Hidden', 'gems', '..', 'penambangan', 'batu', 'kapur', ',', 'aktif', '..', 'lokasi', 'dijangkau', 'mobil', ',', 'spot', 'dibentuk', 'wisata', '..', 'potensi']",1
98,Bukit Jaddhih,"['Dekat', 'Suramadu', 'Masuk', 'bayar', 'Mobil', '20rb', ',', 'Orang', '5rb', 'Naik', 'bukit', 'pakai', 'ojek']",1
99,Bukit Jaddhih,"['Makin', 'bagus', 'air', 'kolam', 'kering', ',', 'perahunya', 'operasi', ',', 'kuda', 'joget', '...', 'sayangnya', 'lumut', 'didinding', 'jago', 'putihnya', '...']",1
100,Bukit Jaddhih,"['Tempatnya', 'sepi', ',', 'idealnya', 'diatas', 'jam', '12', 'matahari', 'barat', 'panas', 'Tiket', 'masuk', 'mobil', '20rb', 'motor', '10rb', 'Untuk', 'goa', 'pote', 'ditambah', 'orang', '5rb']",1
101,Bukit Jaddhih,"['KEREN', 'DAN', 'SANGAT', 'MEMANJAKAN', 'MATA', '.', 'Saran', 'jam', 'kunjung', 'pagi', 'sore', 'gaiss', '.', 'Jangan', 'lupa', 'warga', 'lokal', 'walapun', 'pakai', 'maps', '.', 'Karena', 'jalurnya', '…']",1
102,Bukit Jaddhih,"['Kawasan', 'bukit', 'bekas', 'penambangan', 'batu', 'kapur', 'berpotensi', 'dijadikan', 'wisata', 'penataan', 'pengelola', '.', 'Bukit', 'batu', 'kapur', 'liang', 'berbentuk', 'tinggal', 'jaman', 'batu', '.', 'Fasilitasnya', 'toko', 'suvenir', ',', 'kantin', ',', 'toilet']",1
