ulasan,label,tokens,normalized,stem,token_finish
oke,1,['oke'],[],[],[]
indah sekali tempatnya bersih dan sudah dikelola dengan baik kesini sewaktu musim kemarau aliran air terjunnya cukup deras dan benar berwarna tosca  ada cafe att yang menyediakan berbagai menu masakan dengan view pantai yang indah ,1,"['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah']","['indah', 'sekali', 'tempatnya', 'bersih', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'terjunnya', 'cukup', 'deras', 'benar', 'berwarna', 'tosca', 'cafe', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah']","['indah', 'sekali', 'tempat', 'bersih', 'sudah', 'kelola', 'dengan', 'baik', 'kesini', 'waktu', 'musim', 'kemarau', 'alir', 'terjun', 'cukup', 'deras', 'benar', 'warna', 'tosca', 'cafe', 'yang', 'sedia', 'bagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah']","['indah', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'terjun', 'deras', 'warna', 'tosca', 'cafe', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah']"
bagussss banget lokasi nya dari sampang kota sekitar  jam di tempuh dg mobil tiket masuk cuma rborg parkir mobil rb deket sama tempat makan view nya juga bagus makanan nya juga enak rekomendasi ikan bakar sama ikan bumbu  ,1,"['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu']","['bagus', 'banget', 'lokasi', 'dari', 'sampang', 'kota', 'sekitar', 'tempuh', 'dengan', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'ribu', 'dekat', 'sama', 'tempat', 'makan', 'view', 'juga', 'bagus', 'makanan', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu']","['bagus', 'banget', 'lokasi', 'dari', 'sampang', 'kota', 'sekitar', 'tempuh', 'dengan', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'ribu', 'dekat', 'sama', 'tempat', 'makan', 'view', 'juga', 'bagus', 'makan', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu']","['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'tempuh', 'mobil', 'tiket', 'masuk', 'rborg', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']"
untuk view air terjunnya bagus sekalii,1,"['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii']","['untuk', 'view', 'terjunnya', 'bagus', 'sekali']","['untuk', 'view', 'terjun', 'bagus', 'sekali']","['view', 'terjun', 'bagus']"
view nya bagus sekali apalagi pas sowrey  ,1,"['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey']","['view', 'bagus', 'sekali', 'apalagi', 'sowrey']","['view', 'bagus', 'sekali', 'apalagi', 'sowrey']","['view', 'bagus', 'sowrey']"
spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau madura,1,"['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura']","['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'pulau', 'madura']","['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'kunjung', 'pulau', 'madura']","['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'kunjung', 'pulau', 'madura']"
desa karang anyar bangkit,1,"['desa', 'karang', 'anyar', 'bangkit']","['desa', 'karang', 'anyar', 'bangkit']","['desa', 'karang', 'anyar', 'bangkit']","['desa', 'karang', 'anyar', 'bangkit']"
 pemandangan di sini bagus karena memadukan air terjun dan laut harga tiket masuknya murah korang tapi perawatan dan pengembangannya kurang banyak sampah harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek kmotor r kalau ada yang mau ditanya silakan jangan lupa like juga,1,"['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga']","['pemandangan', 'sini', 'bagus', 'karena', 'memadukan', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'kalau', 'yang', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga']","['pandang', 'sini', 'bagus', 'karena', 'madu', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'korang', 'tapi', 'awat', 'kembang', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukur', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'kalau', 'yang', 'tanya', 'sila', 'jangan', 'lupa', 'like', 'juga']","['pandang', 'bagus', 'madu', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'korang', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'kmotor', 'sila', 'lupa', 'like']"
 november  unik jg air terjun di pinggir laut saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim ,1,"['november', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim']","['november', 'unik', 'juga', 'terjun', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'musim']","['november', 'unik', 'juga', 'terjun', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'musim']","['november', 'unik', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'musim']"
wisata air terjun toroan airnya sungai langsung terjun ke laut tempatnya terawat dan bagus dilihatnya ,1,"['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya']","['wisata', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya']","['wisata', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat']","['wisata', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'awat', 'bagus', 'lihat']"
air terjun yang indah dan langsung jatuh di tepi pantai utara pulau madura,1,"['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura']","['terjun', 'yang', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']","['terjun', 'yang', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']","['terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']"
viewnya bagus tempatnya jg nyaman buat family time makanannya jg enaak,1,"['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak']","['viewnya', 'bagus', 'tempatnya', 'juga', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'juga', 'enaak']","['viewnya', 'bagus', 'tempat', 'juga', 'nyaman', 'buat', 'family', 'time', 'makan', 'juga', 'enaak']","['viewnya', 'bagus', 'nyaman', 'family', 'time', 'makan', 'enaak']"
tempatnya bagus gaes y apalagi klo lgi bukan musim penghujan klo lgi musim hujan airnya coklat gk bening gaesss,0,"['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss']","['tempatnya', 'bagus', 'gaes', 'apalagi', 'kalo', 'lagi', 'bukan', 'musim', 'penghujan', 'kalo', 'lagi', 'musim', 'hujan', 'airnya', 'coklat', 'enggak', 'bening', 'gaesss']","['tempat', 'bagus', 'gaes', 'apalagi', 'kalo', 'lagi', 'bukan', 'musim', 'hujan', 'kalo', 'lagi', 'musim', 'hujan', 'air', 'coklat', 'enggak', 'bening', 'gaesss']","['bagus', 'gaes', 'musim', 'hujan', 'musim', 'hujan', 'air', 'coklat', 'bening', 'gaesss']"
bagusss sekali tapi tetap hal yang perlu di perbaiki adalah sampah mari kurangi penggunaan plastik thanks,0,"['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']","['bagus', 'sekali', 'tapi', 'tetap', 'yang', 'perlu', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks']","['bagus', 'sekali', 'tapi', 'tetap', 'yang', 'perlu', 'baik', 'adalah', 'sampah', 'mari', 'kurang', 'guna', 'plastik', 'thanks']","['bagus', 'sampah', 'mari', 'plastik', 'thanks']"
tempat santai bersama kelurga dan kerabat dengan nuasa alam yang sangat indah dipandang,1,"['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang']","['tempat', 'santai', 'bersama', 'kelurga', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang']","['tempat', 'santai', 'sama', 'kelurga', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'pandang']","['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']"
tempat yang indah tapi kebersihan sedikit perlukurang terjaga ,0,"['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga']","['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga']","['tempat', 'yang', 'indah', 'tapi', 'bersih', 'sedikit', 'perlukurang', 'jaga']","['indah', 'bersih', 'perlukurang', 'jaga']"
pastikan klo mo kesini pas air lgi pasang lebih keren,1,"['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren']","['pastikan', 'kalo', 'kesini', 'lagi', 'pasang', 'lebih', 'keren']","['pasti', 'kalo', 'kesini', 'lagi', 'pasang', 'lebih', 'keren']","['kesini', 'pasang', 'keren']"
tempatnya baguscocok untuk wisata keluarga,1,"['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga']","['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga']","['tempat', 'baguscocok', 'untuk', 'wisata', 'keluarga']","['baguscocok', 'wisata', 'keluarga']"
sangat indah dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah karena air terjunnya beda bukan di pegunungan tapi di tepi pantai,1,"['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai']","['sangat', 'indah', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'terjunnya', 'beda', 'bukan', 'pegunungan', 'tapi', 'tepi', 'pantai']","['sangat', 'indah', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'manja', 'mata', 'untuk', 'lihat', 'pandang', 'yang', 'sangat', 'indah', 'karena', 'terjun', 'beda', 'bukan', 'gunung', 'tapi', 'tepi', 'pantai']","['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'lihat', 'pandang', 'indah', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']"
bagus viewnya hanya saja tulisan toroan nya yg dibuat terlalu dekat dengan air terjun untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu toilet tersedia,0,"['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yg', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yg', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia']","['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'yang', 'dibuat', 'terlalu', 'dekat', 'dengan', 'terjun', 'untuj', 'fotografer', 'yang', 'ingin', 'capture', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'toilet', 'tersedia']","['bagus', 'viewnya', 'hanya', 'saja', 'tulis', 'toro', 'yang', 'buat', 'terlalu', 'dekat', 'dengan', 'terjun', 'untuj', 'fotografer', 'yang', 'ingin', 'capture', 'terjun', 'jadi', 'ganggu', 'dengan', 'icon', 'tulis', 'toilet', 'sedia']","['bagus', 'viewnya', 'tulis', 'toro', 'terjun', 'untuj', 'fotografer', 'capture', 'terjun', 'ganggu', 'icon', 'tulis', 'toilet', 'sedia']"
emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantaitiket masuk  rb k lokasi air terjun,1,"['emang', 'tak', 's', 'alami', 'n', 'sbagus', 'yg', 'dulu', 'tp', 'ttp', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', 'rb', 'k', 'lokasi', 'air', 'terjun']","['memang', 'alami', 'sbagus', 'yang', 'dulu', 'tapi', 'tetap', 'eksotik', 'nyaman', 'buat', 'bersantaitiket', 'masuk', 'ribu', 'lokasi', 'terjun']","['memang', 'alami', 'sbagus', 'yang', 'dulu', 'tapi', 'tetap', 'eksotik', 'nyaman', 'buat', 'bersantaitiket', 'masuk', 'ribu', 'lokasi', 'terjun']","['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantaitiket', 'masuk', 'ribu', 'lokasi', 'terjun']"
mungkin saya datang di waktu yang salah karena waktu kesana tempatnya tidak sebagus ekspektasi saya juga disana tidak disarankan untuk bermain air sehingga hanya sekedar objek foto saja,0,"['mungkin', 'saya', 'datang', 'di', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'air', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja']","['mungkin', 'saya', 'datang', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja']","['mungkin', 'saya', 'datang', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempat', 'tidak', 'bagus', 'ekspektasi', 'saya', 'juga', 'sana', 'tidak', 'saran', 'untuk', 'main', 'sehingga', 'hanya', 'dar', 'objek', 'foto', 'saja']","['salah', 'kesana', 'bagus', 'ekspektasi', 'saran', 'main', 'dar', 'objek', 'foto']"
air terjun toroan adalan wisata alam madura yg sangat bagus namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi,0,"['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yg', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'dan', 'investor', 'utk', 'pengembangannya', 'yg', 'lebih', 'bagus', 'lagi']","['terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yang', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'investor', 'untuk', 'pengembangannya', 'yang', 'lebih', 'bagus', 'lagi']","['terjun', 'toro', 'adalan', 'wisata', 'alam', 'madura', 'yang', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'perlu', 'sentuh', 'tangan', 'pofesional', 'investor', 'untuk', 'kembang', 'yang', 'lebih', 'bagus', 'lagi']","['terjun', 'toro', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuh', 'tangan', 'pofesional', 'investor', 'kembang', 'bagus']"
bagus buat selfi alami dgn latar airterjun yg keren jangan berenang krn dalam sekali,1,"['bagus', 'buat', 'selfi', 'alami', 'dgn', 'latar', 'airterjun', 'yg', 'keren', 'jangan', 'berenang', 'krn', 'dalam', 'sekali']","['bagus', 'buat', 'selfi', 'alami', 'dengan', 'latar', 'airterjun', 'yang', 'keren', 'jangan', 'berenang', 'karena', 'dalam', 'sekali']","['bagus', 'buat', 'selfi', 'alami', 'dengan', 'latar', 'airterjun', 'yang', 'keren', 'jangan', 'renang', 'karena', 'dalam', 'sekali']","['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'renang']"
view nya indah menawan  sayang kurang perawatan  berharap kedepannya air terjun toroan ini dirawat dengan baikoleh pemkab maupun swasta asli daerah,0,"['view', 'nya', 'indah', 'menawan', 'sayang', 'kurang', 'perawatan', 'berharap', 'kedepannya', 'air', 'terjun', 'toroan', 'ini', 'dirawat', 'dengan', 'baikoleh', 'pemkab', 'maupun', 'swasta', 'asli', 'daerah']","['view', 'indah', 'menawan', 'sayang', 'kurang', 'perawatan', 'berharap', 'kedepannya', 'terjun', 'toroan', 'dirawat', 'dengan', 'baikoleh', 'pemkab', 'maupun', 'swasta', 'asli', 'daerah']","['view', 'indah', 'tawan', 'sayang', 'kurang', 'awat', 'harap', 'depan', 'terjun', 'toro', 'rawat', 'dengan', 'baikoleh', 'pemkab', 'maupun', 'swasta', 'asli', 'daerah']","['view', 'indah', 'tawan', 'sayang', 'awat', 'harap', 'terjun', 'toro', 'rawat', 'baikoleh', 'pemkab', 'swasta', 'asli', 'daerah']"
bagus viewnya sayang sedikit kebersihan air dan pantainya kurang terjaga,0,"['bagus', 'viewnya', 'sayang', 'sedikit', 'kebersihan', 'air', 'dan', 'pantainya', 'kurang', 'terjaga']","['bagus', 'viewnya', 'sayang', 'sedikit', 'kebersihan', 'pantainya', 'kurang', 'terjaga']","['bagus', 'viewnya', 'sayang', 'sedikit', 'bersih', 'pantai', 'kurang', 'jaga']","['bagus', 'viewnya', 'sayang', 'bersih', 'pantai', 'jaga']"
harusnya bisa lebih bagus  menarik sayangnya banyak sampah di pantai  air terjunnya,0,"['harusnya', 'bisa', 'lebih', 'bagus', 'menarik', 'sayangnya', 'banyak', 'sampah', 'di', 'pantai', 'air', 'terjunnya']","['harusnya', 'bisa', 'lebih', 'bagus', 'menarik', 'sayangnya', 'banyak', 'sampah', 'pantai', 'terjunnya']","['harus', 'bisa', 'lebih', 'bagus', 'tarik', 'sayang', 'banyak', 'sampah', 'pantai', 'terjun']","['bagus', 'tarik', 'sayang', 'sampah', 'pantai', 'terjun']"
panoramanya bagus perlu kreativitas utk penambahan area di pantai dan penambahan fasilitas,1,"['panoramanya', 'bagus', 'perlu', 'kreativitas', 'utk', 'penambahan', 'area', 'di', 'pantai', 'dan', 'penambahan', 'fasilitas']","['panoramanya', 'bagus', 'perlu', 'kreativitas', 'untuk', 'penambahan', 'area', 'pantai', 'penambahan', 'fasilitas']","['panorama', 'bagus', 'perlu', 'kreativitas', 'untuk', 'tambah', 'area', 'pantai', 'tambah', 'fasilitas']","['panorama', 'bagus', 'kreativitas', 'area', 'pantai', 'fasilitas']"
bagus banget buat spot foto instagram obyeknya bagus  unik,1,"['bagus', 'banget', 'buat', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik']","['bagus', 'banget', 'buat', 'spot', 'foto', 'instagram', 'obyeknya', 'bagus', 'unik']","['bagus', 'banget', 'buat', 'spot', 'foto', 'instagram', 'obyek', 'bagus', 'unik']","['bagus', 'banget', 'spot', 'foto', 'instagram', 'obyek', 'bagus', 'unik']"
bagus langsung menjorok ke lautan,1,"['bagus', 'langsung', 'menjorok', 'ke', 'lautan']","['bagus', 'langsung', 'menjorok', 'lautan']","['bagus', 'langsung', 'jorok', 'laut']","['bagus', 'langsung', 'jorok', 'laut']"
cukup bagus bisa untuk tempat foto prewedding,1,"['cukup', 'bagus', 'bisa', 'untuk', 'tempat', 'foto', 'prewedding']","['cukup', 'bagus', 'bisa', 'untuk', 'tempat', 'foto', 'prewedding']","['cukup', 'bagus', 'bisa', 'untuk', 'tempat', 'foto', 'prewedding']","['bagus', 'foto', 'prewedding']"
akan terasa lebih indah ketika menjelang matahari terbenam,1,"['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam']","['akan', 'terasa', 'lebih', 'indah', 'ketika', 'menjelang', 'matahari', 'terbenam']","['akan', 'asa', 'lebih', 'indah', 'ketika', 'jelang', 'matahari', 'benam']","['asa', 'indah', 'jelang', 'matahari', 'benam']"
